"","Skills"
"1","java"
"2","spring"
"3","j2ee"
"4","sql"
"5","javascript"
"6","hibernate"
"7","oracle"
"8","struts"
"9","xml"
"10","web services"
"11","agile"
"12","core java"
"13","rest"
"14","jsp"
"15","java developer"
"16","linux"
"17","developer"
"18","css"
"19","html"
"20","jquery"
"21","software engineer"
"22","development"
"23","c#"
"24","python"
"25","programming"
"26","c++"
"27","testing"
"28",".net"
"29","mysql"
"30","http"
"31","architecture"
"32","management"
"33","analysis"
"34","project manager"
"35","project management"
"36","pmp"
"37","sdlc"
"38","project"
"39","manager"
"40","waterfall"
"41","ms project"
"42","pm"
"43","scrum"
"44","excel"
"45","infrastructure"
"46","jira"
"47","ms office"
"48","consulting"
"49","sharepoint"
"50","powerpoint"
"51","business analyst"
"52","analyst"
"53","business analysis"
"54","business requirements"
"55","research"
"56","lifecycle"
"57","requirements gathering"
"58","cisco"
"59","network engineer"
"60","ccnp"
"61","wan"
"62","switches"
"63","routers"
"64","vpn"
"65","security"
"66","network"
"67","lan"
"68","bgp"
"69","ccna"
"70","firewall"
"71","firewalls"
"72","tcp/ip"
"73","networking"
"74","ospf"
"75","protocols"
"76","dns"
"77","asp.net"
"78","mvc"
"79","sql server"
"80","wcf"
"81",".net developer"
"82","asp"
"83","ajax"
"84","angularjs"
"85","html5"
"86","visual studio"
"87","devops"
"88","aws"
"89","chef"
"90","puppet"
"91","jenkins"
"92","perl"
"93","git"
"94","docker"
"95","ruby"
"96","bash"
"97","scripting"
"98","powershell"
"99","ansible"
"100","vmware"
"101","systems engineer"
"102","active directory"
"103","windows"
"104","exchange"
"105","citrix"
"106","mcse"
"107","windows server"
"108","systems"
"109","system administrator"
"110","web developer"
"111","css3"
"112","php"
"113","json"
"114","angular"
"115","systems administrator"
"116","hardware"
"117","database"
"118","unix"
"119","cissp"
"120","security engineer"
"121","proxy"
"122","encryption"
"123","tokenization"
"124","cryptography"
"125","checkpoint"
"126","splunk"
"127","compliance"
"128","palo alto"
"129","data analyst"
"130","data analysis"
"131","sas"
"132","tableau"
"133","data mapping"
"134","data modeling"
"135","etl"
"136","data mining"
"137","access"
"138","sql queries"
"139","microsoft excel"
"140","vb"
"141","node.js"
"142","front end"
"143","user interface"
"144","front end developer"
"145","ui"
"146","react"
"147","wordpress"
"148","product management"
"149","product manager"
"150","b2b"
"151","ecommerce"
"152","e-commerce"
"153","release"
"154","sales"
"155","product manager financial services excellent communication skills and good energy agile sql"
"156","ups"
"157","qa"
"158","ux"
"159","algorithm"
"160","algorithms"
"161","video"
"162","angular js"
"163","bootstrap"
"164","backbone"
"165","ui developer"
"166","less"
"167","technical writer"
"168","technical writing"
"169","api"
"170","writer"
"171","documentation"
"172","confluence"
"173","sdk"
"174","sop"
"175","software programs"
"176","requirements"
"177","project methodology"
"178","supervision"
"179","business systems analyst"
"180","systems analyst"
"181","full time"
"182","scripts"
"183","full stack developer"
"184","android"
"185","android sdk"
"186","android developer"
"187","mobile"
"188","tdd"
"189","white box"
"190","black box"
"191","ios"
"192","java6/7"
"193","oo"
"194","salesforce"
"195","apex"
"196","visualforce"
"197","salesforce developer"
"198","sfdc"
"199","visual force"
"200","force.com"
"201","crm"
"202","salesforce.com"
"203","service cloud"
"204","triggers"
"205","swift"
"206","objective c"
"207","objective-c"
"208","xcode"
"209","ios sdk"
"210","ios development"
"211","ios developer"
"212","core data"
"213","core animation"
"214","corelocation"
"215","unit testing"
"216","restful"
"217","sqlite"
"218","system admin"
"219","networks"
"220","sys admin"
"221","dhcp"
"222","application developer"
"223","application development"
"224","microsoft visual studio"
"225","microsoft sql server"
"226","technical project manager"
"227","itil"
"228","soa"
"229","microservices"
"230","technical"
"231","agile/scrum"
"232","project management for .net teams"
"233","cmdb"
"234","r"
"235","hadoop"
"236","matlab"
"237","data scientist"
"238","machine learning"
"239","modeling"
"240","spark"
"241","hive"
"242","statistics"
"243","ux designer"
"244","user experience"
"245","ux design"
"246","axure"
"247","wireframes"
"248","design"
"249","adobe"
"250","photoshop"
"251","illustrator"
"252","sketch"
"253","solutions architect"
"254","cloud"
"255","pre-sales"
"256","business intelligence"
"257","data warehouse"
"258","selenium"
"259","automation"
"260","automated"
"261","quality assurance"
"262","experience required: 5-10 years quality assurance testing - automation background must have hands-on experience writing python scripts. experience working with pyunit required experience working in a"
"263","zephyr"
"264","spritz"
"265","qa engineer"
"266","react.js"
"267","computer science degree"
"268","html / css"
"269","program manager"
"270","program management"
"271","change management"
"272","microsoft office"
"273","budgeting"
"274","erp"
"275","b2c/ecommerce"
"276","p&c"
"277","iot"
"278","microsoft project"
"279","healthcare"
"280","analytical skills"
"281","microsoft word"
"282","cyber security"
"283","it project manager"
"284","django"
"285","python developer"
"286","finance"
"287","pyside"
"288","shell scripting language"
"289","qt4"
"290","qt5"
"291","python ui controls"
"292","numpy"
"293","rest api"
"294","telecommuting not available travel not required"
"295","lamp"
"296","lamp stack"
"297","laravel"
"298","apache"
"299","php html css javascript developer sql fullstack"
"300","front-end development"
"301","customer service"
"302","materials"
"303","sun"
"304","recruiter"
"305","data architect"
"306","informatica"
"307","mdm"
"308","data governance"
"309","pig"
"310","erwin"
"311","solution architect"
"312","director"
"313","architect"
"314","technical recruiter"
"315","recruiting"
"316","it"
